# coordinator_comparison mode=gossip n=10 duration_secs=20 decision_rate_hz=50 load_update_rate_hz=10 warmup_secs=6
# warmup 10/10 → client sees 10 workers, 10 peers; broker has 0 peers
mode,n,decision_idx,perceived_load,true_load,decision_us,is_misroute
gossip,10,303,13,13,32,false
gossip,10,304,13,13,29,false
gossip,10,305,13,13,27,false
gossip,10,306,14,14,35,false
gossip,10,307,14,14,16,false
gossip,10,308,14,14,17,false
gossip,10,309,14,14,18,false
gossip,10,310,17,17,10,false
gossip,10,311,17,17,25,false
gossip,10,312,17,17,19,false
gossip,10,313,17,17,15,false
gossip,10,314,18,18,23,false
gossip,10,315,18,18,30,false
gossip,10,316,18,18,31,false
gossip,10,317,18,18,16,false
gossip,10,318,16,16,23,false
gossip,10,319,16,16,40,false
gossip,10,320,16,16,19,false
gossip,10,321,16,16,29,false
gossip,10,322,16,16,28,false
gossip,10,323,16,16,18,false
gossip,10,324,16,16,18,false
gossip,10,325,16,16,14,false
gossip,10,326,16,16,16,false
gossip,10,327,16,16,32,false
gossip,10,328,17,17,17,false
gossip,10,329,17,17,16,false
gossip,10,330,17,17,19,false
gossip,10,331,17,17,55,false
gossip,10,332,17,17,17,false
gossip,10,333,13,13,17,false
gossip,10,334,13,13,17,false
gossip,10,335,13,13,32,false
gossip,10,336,13,13,31,false
gossip,10,337,13,10,15,false
gossip,10,338,10,10,23,false
gossip,10,339,10,10,22,false
gossip,10,340,10,10,49,false
gossip,10,341,10,10,34,false
gossip,10,342,14,14,15,false
gossip,10,343,14,14,30,false
gossip,10,344,14,14,17,false
gossip,10,345,14,14,42,false
gossip,10,346,14,14,20,false
gossip,10,347,18,18,60,false
gossip,10,348,18,18,21,false
gossip,10,349,22,22,17,false
gossip,10,350,22,22,29,false
gossip,10,351,22,22,32,false
gossip,10,352,22,22,16,false
gossip,10,353,22,18,17,false
gossip,10,354,18,18,15,false
gossip,10,355,18,18,21,false
gossip,10,356,18,18,18,false
gossip,10,357,18,18,41,false
gossip,10,358,19,19,33,false
gossip,10,359,19,21,30,false
gossip,10,360,21,21,28,false
gossip,10,361,21,21,32,false
gossip,10,362,21,21,30,false
gossip,10,363,21,21,15,false
gossip,10,364,25,25,14,false
gossip,10,365,25,25,18,false
gossip,10,366,25,25,17,false
gossip,10,367,25,25,29,false
gossip,10,368,25,25,21,false
gossip,10,369,26,26,14,false
gossip,10,370,26,26,15,false
gossip,10,371,26,26,22,false
gossip,10,372,26,26,28,false
gossip,10,373,29,29,29,false
gossip,10,374,29,29,29,false
gossip,10,375,29,29,19,false
gossip,10,376,29,29,95,false
gossip,10,377,28,28,29,false
gossip,10,378,28,28,26,false
gossip,10,379,28,28,20,false
gossip,10,380,24,24,20,false
gossip,10,381,24,24,19,false
gossip,10,382,21,21,14,false
